"","PEVONEDISTAT"
"ACH-000981","sensitive"
"ACH-000983","sensitive"
"ACH-000985","sensitive"
"ACH-000987","resistant"
"ACH-000988","resistant"
"ACH-000997","sensitive"
"ACH-000998","resistant"
"ACH-000999","resistant"
"ACH-001016","sensitive"
"ACH-001106","sensitive"
"ACH-001151","resistant"
"ACH-001190","sensitive"
"ACH-001193","sensitive"
"ACH-001306","resistant"
"ACH-001307","sensitive"
"ACH-001328","sensitive"
"ACH-001332","sensitive"
"ACH-001333","sensitive"
"ACH-001334","resistant"
"ACH-001341","resistant"
"ACH-001344","resistant"
"ACH-001345","resistant"
"ACH-001373","resistant"
"ACH-001384","resistant"
"ACH-001400","sensitive"
"ACH-001443","sensitive"
"ACH-001453","resistant"
"ACH-001494","resistant"
"ACH-001496","resistant"
"ACH-001497","resistant"
"ACH-001500","sensitive"
"ACH-001517","sensitive"
"ACH-001519","resistant"
"ACH-001525","sensitive"
"ACH-001528","sensitive"
"ACH-001529","resistant"
"ACH-001542","sensitive"
"ACH-001549","resistant"
"ACH-001578","resistant"
"ACH-001603","resistant"
"ACH-001605","resistant"
"ACH-001625","sensitive"
"ACH-001626","resistant"
"ACH-001630","resistant"
"ACH-001638","resistant"
"ACH-001641","resistant"
"ACH-001642","sensitive"
"ACH-001650","sensitive"
"ACH-001655","resistant"
"ACH-001674","sensitive"
"ACH-001703","sensitive"
"ACH-001711","sensitive"
"ACH-001715","sensitive"
"ACH-001716","sensitive"
